db_rowid,original,fixed,status,similarity_score
1,Механизаторов,ул. Механизаторов,Formatted (Cleaned),100.0
2,Алебастровая,ул. Алебастровая,Formatted (Cleaned),100.0
4,ул.Московское шоссе,ул. Московское шоссе,Formatted (Cleaned),100.0
5,Казанская,ул. Казанская,Formatted (Cleaned),100.0
6,Баренца,ул. Баренца,Formatted (Cleaned),100.0
7,Пермякова,ул. Пермякова,Formatted (Cleaned),100.0
8,Чаадаева,ул. Чаадаева,Formatted (Cleaned),100.0
9,Р.Корсакова,ул. Р.Корсакова,Formatted (Cleaned),100.0
10,Клинкерная,ул. Клинкерная,Formatted (Cleaned),100.0
11,Зайцева,ул. Зайцева,Formatted (Cleaned),100.0
12,Энгельса,ул. Энгельса,Formatted (Cleaned),100.0
13,Иванова,ул. Иванова,Formatted (Cleaned),100.0
14,Островского,ул. Островского,Formatted (Cleaned),100.0
15,Рудничная,ул. Рудничная,Formatted (Cleaned),100.0
16,пр.Кораблестроителей,пр-кт Кораблестроителей,Formatted (Cleaned),100.0
17,Никиты Рыбакова,ул. Никиты Рыбакова,Formatted (Cleaned),100.0
18,Энгельса,ул. Энгельса,Formatted (Cleaned),100.0
19,Мечникова,ул. Мечникова,Formatted (Cleaned),100.0
20,Федосеенко,ул. Федосеенко,Formatted (Cleaned),100.0
21,Баренца,ул. Баренца,Formatted (Cleaned),100.0
22,Культуры,ул. Культуры,Formatted (Cleaned),100.0
23,Зайцева,ул. Зайцева,Formatted (Cleaned),100.0
24,Победная,ул. Победная,Formatted (Cleaned),100.0
25,Л.Толстого,ул. Л.Толстого,Formatted (Cleaned),100.0
26,Гаугеля,ул. Гаугеля,Formatted (Cleaned),100.0
27,Кораблестроителей,ул. Кораблестроителей,Formatted (Cleaned),100.0
28,Культуры,ул. Культуры,Formatted (Cleaned),100.0
29,Чаадаева,ул. Чаадаева,Formatted (Cleaned),100.0
30,Ногина,ул. Ногина,Formatted (Cleaned),100.0
31,Культуры,ул. Культуры,Formatted (Cleaned),100.0
32,Тихорецкая,ул. Тихорецкая,Formatted (Cleaned),100.0
33,Ногина,ул. Ногина,Formatted (Cleaned),100.0
34,Федосеенко,ул. Федосеенко,Formatted (Cleaned),100.0
35,Ногина,ул. Ногина,Formatted (Cleaned),100.0
36,пр.Кораблестроителей,пр-кт Кораблестроителей,Formatted (Cleaned),100.0
37,Культуры,ул. Культуры,Formatted (Cleaned),100.0
38,Ефремова,ул. Ефремова,Formatted (Cleaned),100.0
39,Березовская,ул. Березовская,Formatted (Cleaned),100.0
40,Циолковского,ул. Циолковского,Formatted (Cleaned),100.0
41,Ефремова,ул. Ефремова,Formatted (Cleaned),100.0
42,Страж Революции,ул. Страж Революции,Formatted (Cleaned),100.0
43,Иванова,ул. Иванова,Formatted (Cleaned),100.0
44,Черняховского,ул. Черняховского,Formatted (Cleaned),100.0
45,Гаугеля,ул. Гаугеля,Formatted (Cleaned),100.0
46,Уншлихта,ул. Уншлихта,Formatted (Cleaned),100.0
47,Московское шоссе,ш. Московское,Formatted (Cleaned),100.0
48,Трансформаторная,ул. Трансформаторная,Formatted (Cleaned),100.0
49,Пугачева,ул. Пугачева,Formatted (Cleaned),100.0
50,Федосеенко,ул. Федосеенко,Formatted (Cleaned),100.0
