db_rowid,original,formatted_variant,suggested_reference,similarity_score
133,Б-Починковская,ул. Б-Починковская,Б.Починковская,92.86
192,пр. Героев 36,пр-кт Героев 36,пр-кт Героев,80.0
641,Б Юбилейный,ул. Б Юбилейный,Б. Юбилейный,95.65
779,Шимборскоко,ул. Шимборскоко,Шимборского,90.91
852,ул.Грина,ул. Грина,Грунина,83.33
906,Н-Безрукова,ул. Н-Безрукова,Н.Безрукова,90.91
954,Парашютстов,ул. Парашютстов,Парашютистов,95.65
1074,Энгелься,ул. Энгелься,Энгельса,87.5
1429,бл.Юбилейный,ул. Бл.Юбилейный,Б.Юбилейный,95.65
1499,С-Пески,ул. С-Пески,Н-Пески,85.71
1522,Просторная,ул. Просторная,Прожекторная,81.82
1613,50-лет Октября,ул. 50-лет Октября,50 лет Октября,92.86
1698,Б.Юбилеиный,ул. Б.Юбилеиный,Б.Юбилейный,90.91
1766,Земледенческая,ул. Земледенческая,Земледельческая,89.66
1910,50 Лет Победы,ул. 50 Лет Победы,50 Летия Победы,92.86
2012,Васюнина,ул. Васюнина,Адм.Васюнина,80.0
2249,ул.Бр.Заречный,ул. Бр.Заречный,Б.Заречный,95.24
2250,улюНогина,ул. УлюНогина,Ногина,80.0
2289,Сходненская,ул. Сходненская,Гродненская,81.82
2350,ул.Гагарина пр,пр-кт Ул.Гагарина,пр.Гагарина,84.21
2389,2-ая  Экономическая,ул. 2-ая Экономическая,1-ая Экономическая,94.44
2432,Джамбулов,ул. Джамбулов,Джамбула,82.35
2464,ул.Сормовское шоссе,ул. Сормовское шоссе,ул.Московское шоссе,81.25
2519,ул.пр Союзный,пр-кт Ул. Союзный,ул.пр.Союзный,95.24
2541,ул.пр.Героев,пр-кт Ул.Героев,пр-кт Героев,80.0
2593,ул. Гордеевская 62,ул. Гордеевская 62,Гордеевская,88.0
2620,Арджиникидзе,ул. Арджиникидзе,Орджоникидзе,83.33
2654,40 Лет Октября,ул. 40 Лет Октября,40 лет Октября,92.86
2661,50 лет победы,ул. 50 лет победы,50 летия победы,92.86
2691,ул.Московское щоссе,ул. Московское щоссе,ул.Московское шоссе,93.75
2717,2-я Комсомольская,ул. 2-я Комсомольская,1-я Комсомольская,94.12
2928,пер.Райнисова,пер. Райнисова,пер.Райниса,87.5
3026,Евг.Мечникова,ул. Евг.Мечникова,Мечникова,81.82
3048,Прт Юбилейный,ул. Прт Юбилейный,Юбилейный,81.82
3121,Бристская,ул. Бристская,Брестская,88.89
3122,ул.Пр.Героев,пр-кт Ул.Героев,пр-кт Героев,80.0
3125,ул.Пер.Союзный,ул. Пер.Союзный,просп.Союзный,83.33
3201,ул.пр. Союзный,пр-кт Ул. Союзный,ул.пр.Союзный,95.24
3556,Мокшинская,ул. Мокшинская,Минская,82.35
3630,Ген.Марилова,ул. Ген.Марилова,Ген.Маргелова,88.0
4020,Сосногорская,ул. Сосногорская,Красногорская,80.0
4191,"Дубравная,10 линия","ул. Дубравная,10 линия",Дубравная 10 линия,94.44
4268,пр.Высоковский,пр-кт Высоковский,Пр-д Высоковский,91.67
4474,Магаданская,ул. Магаданская,Таганская,80.0
4533,Шюльная,ул. Шюльная,Школьная,80.0
4765,Остовского,ул. Остовского,Островского,95.24
5143,Васиоия Иванова,ул. Васиоия Иванова,Василия Иванова,93.33
5670,Римского Корсакого,ул. Римского Корсакого,Римского-Корсакого,94.44
6017,Орждоникидзе,ул. Орждоникидзе,Орджоникидзе,91.67
6080,"Дубравная,8 линия","ул. Дубравная,8 линия",Дубравная 8 линия,94.12
6156,Радионова,ул. Радионова,Родионова,88.89
6531,Березняковская,ул. Березняковская,Березовская,88.0
6718,Радиальная,ул. Радиальная,Раздольная,80.0
7023,Свелоярская,ул. Свелоярская,Светлоярская,95.65
7038,Ватрапшонка,ул. Ватрапшонка,Ватракшонка,90.91
7206,Еремова,ул. Еремова,Ефремова,93.33
7413,2-ая линия,ул. 2-ая линия,2-я линия,94.74
7439,Кв.Дружба,ул. Кв.Дружба,кв-л Дружба,80.0
7737,Октюбинская,ул. Октюбинская,Актюбинская,90.91
8080,Хохлова,ул. Хохлова,А.Хохлова,87.5
8298,Октябрьской рев.,ул. Октябрьской рев,Октябрьской революции,83.33
8315,Дъяконова,ул. Дъяконова,Дяконова,94.12
8417,Рим Корсакова,ул. Рим Корсакова,Р. Корсакова,88.0
8527,Меяникова,ул. Меяникова,Мечникова,88.89
8597,1-я рязанская,ул. 1-я рязанская,1-я Рязанка,83.33
8615,Портовая,ул. Портовая,Почтовая,87.5
8680,Павловская,ул. Павловская,Пановская,84.21
8689,Гордееевская,ул. Гордееевская,Гордеевская,95.65
9236,Панфилолвцев,ул. Панфилолвцев,Панфиловцев,95.65
9401,Самочкина,ул. Самочкина,Гер.Самочкина,81.82
9542,А Нахимова,ул. А Нахимова,Нахимова,88.89
9630,Крутнова,ул. Крутнова,Крупнова,87.5
9827,Чайкиной,ул. Чайкиной,Л.Чайкиной,88.89
10042,"Дубравная, 6-я линия","ул. Дубравная, 6-я линия",Дубравная 6 линия,91.89
10148,Островского 6\2,ул. Островского 6\2,Островского,84.62
10167,Ломовская,ул. Ломовская,Сормовская,84.21
10175,Верхнепечорская,ул. Верхнепечорская,Верхнепечерская,93.33
10338,прт.Ленина,ул. Прт.Ленина,прЛенина,88.89
10517,ЕВГ.Никонова,ул. ЕВГ.Никонова,Е.Никонова,90.91
10717,Московское щоссе,ул. Московское щоссе,ул.Московское шоссе,93.75
10721,Коминтера,ул. Коминтера,Коминтерна,94.74
11035,Дубравная 1-линия,ул. Дубравная 1-линия,Дубравная 1 линия,94.12
11168,Дм.Палова,ул. Дм.Палова,Дм.Павлова,94.74
11305,Павла Мачалова,ул. Павла Мачалова,Павла Мочалова,92.86
11371,Б-Дружин,ул. Б-Дружин,Б.Дружин,87.5
11566,Перевертника,ул. Перевертника,Переверткина,83.33
11756,Нов.Пески,ул. Нов.Пески,Н.Пески,87.5
11838,Н.пески,ул. Н.пески,Н.Пески,85.71
11989,ЕВГ.Мирошникова,ул. ЕВГ.Мирошникова,Е.Мирошникова,92.86
12067,Панетная,ул. Панетная,Планетная,94.12
12069,Академ. Баха,ул. Академ. Баха,Акад.Баха,85.71
12241,Комиссаровка,ул. Комиссаровка,Комарова,80.0
12447,Старовского,ул. Старовского,Отровского,85.71
12515,2-линия,ул. 2-линия,2-я линия,87.5
12693,Н-Волжская наб.,наб. Н-Волжская,Волжская Набережная,88.89
12768,Платова,ул. Платова,Филатова,80.0
12952,Нов.-Прибоя,ул. Нов.-Прибоя,Нов.Прибоя,95.24
13062,1-я Красноармейская,ул. 1-я Красноармейская,Красноармейская,88.24
13347,В.-Печерская,ул. В.-Печерская,В.Печерская,95.65
13416,Красных щорь,ул. Красных щорь,Красных Зорь,91.67
13564,Льва Толстова,ул. Льва Толстова,Льва Толстого,84.62
14038,Лесноя,ул. Лесноя,Лесная,83.33
14063,Б.Пружин,ул. Б.Пружин,Б.Дружин,87.5
14082,Турловская,ул. Турловская,Орловская,84.21
14224,Л.Безрукова,ул. Л.Безрукова,Н.Безрукова,90.91
14302,2 Мик-он,ул. 2 Мик-он,2 мик-он,87.5
14335,Двинская,ул. Двинская,Минская,80.0
14540,Судостроителеная,ул. Судостроителеная,Судостроительная,93.75
14664,Гвардейдев,ул. Гвардейдев,Гвардейцев,90.0
14706,Зломова,ул. Зломова,Заломова,93.33
14739,2 мик-н,ул. 2 мик-н,2 мик-он,93.33
14938,Зимина,ул. Зимина,Г.Зимина,85.71
14945,Покровка,ул. Покровка,Б.Покровская,80.0
15011,пер.Водайбинский,пер. Водайбинский,пер.Бодайбинский,91.67
15178,Ореховская,ул. Ореховская,Орловская,84.21
15218,Бресцкая,ул. Бресцкая,Брестская,82.35
15294,Красноуралысая,ул. Красноуралысая,Красноуральская,89.66
15385,Раманова,ул. Раманова,Рахманинова,84.21
15453,Сергеевна,ул. Сергеевна,Сергеевка,88.89
15491,пер.Кошельный,пер. Кошельный,пер.Котельный,88.89
15538,Гер.Давыдова,ул. Гер.Давыдова,Г.Давыдова,90.91
15544,В.революции,ул. В.революции,В.Революции,90.91
15597,Ивана чугурина,ул. Ивана чугурина,Ивана Чугурина,92.86
16529,Сткденческая,ул. Сткденческая,Студенческая,91.67
16580,Римсгого-Корсакова,ул. Римсгого-Корсакова,Римского-Корсакова,94.44
16710,Андронова,ул. Андронова,Андропова,88.89
16991,Романа пискунова,ул. Романа пискунова,Романа Пискунова,93.75
17165,Ждановка,ул. Ждановка,Жданова,93.33
17294,Новая Стробка,ул. Новая Стробка,Новая Стройка,92.31
17332,Новгородская,ул. Новгородская,Богородская,86.96
17364,пр.Дзержинчкого,пр-кт Дзержинчкого,пр.Дзержинского,91.67
17462,Маргелова,ул. Маргелова,Ген.Маргелова,81.82
17534,линия 25,ул. Линия 25,Линия 2-я,82.35
17744,Гео.Космоса,ул. Гео.Космоса,Гер.Космоса,90.91
17975,Эндроновская,ул. Эндроновская,Эпроновская,86.96
18008,Победна,ул. Победна,Победная,93.33
18123,Социолистическая,ул. Социолистическая,Социалистическая,93.75
18151,Б.Кузнечиха,ул. Б.Кузнечиха,дер.Кузнечиха,83.33
18331,пер.Сиалелитейный,пер. Сиалелитейный,пер.Сталелитейный,92.31
18421,Долбухина,ул. Долбухина,Толбухина,88.89
18572,Б.Корниловка,ул. Б.Корниловка,Б.Корнилова,95.65
18638,пр кт Молодежный,пр-кт Кт Молодежный,пр-кт Молодежный,86.96
18746,Бумажниково,ул. Бумажниково,Бумажников,95.24
18801,Надежда Сусловой,ул. Надежда Сусловой,Надежды Сусловой,93.75
18802,Им. Сергея акимова,ул. Им. Сергея акимова,Им. Сергея Акимова,94.44
18843,Ген.Марчелова,ул. Ген.Марчелова,Ген.Маргелова,92.31
18916,Шабарова,ул. Шабарова,Шагарова,87.5
19244,пер.Мельничный,пер. Мельничный,пер.Больничный,80.0
19296,пос.Новое доскино,пос. Новое доскино,п.Новое Доскино,92.31
19389,"сл.Верхне-Печерская,проезд4","ул. Сл.Верхне-Печерская,проезд4",Сл.Верхне-Печерская,82.61
19503,Дубравная 7 лин.,ул. Дубравная 7 лин,Дубравная 7 линия,93.75
19695,Кубанева,ул. Кубанева,Куманева,87.5
19741,пр-т Лен.Комсомола,пр-кт Т Лен.Комсомола,пр.Лен.Комсомола,92.86
19789,Кловская,ул. Кловская,Ковская,93.33
20101,Гагарина пр-т,пр-кт Гагарина -т,пр.Гагарина,84.21
20153,Красные зори,ул. Красные зори,Красные Зори,91.67
20210,Волжск. Рейд,ул. Волжск. Рейд,Волжский рейд,80.0
20312,Слюдянская,ул. Слюдянская,Славянская,80.0
20755,Лемной городок,ул. Лемной городок,Лесной городок,92.86
21010,Советской армии,ул. Советской армии,Советской Армии,93.33
21413,Железнодорожная 2-я,ул. Железнодорожная 2-я,Железнодорожная 1-я,94.74
21570,Борисова,ул. Борисова,Боровая,80.0
21616,Дубровская,ул. Дубровская,Фубровская,90.0
21844,Волжск.Набережная,наб. Волжск,Волжская Набережная,85.71
21895,Рачкова,ул. Рачкова,Рыбакова,80.0
21897,Г.Кошелева,ул. Г.Кошелева,Кошелева,88.89
21995,Дубравная 4-я линия,ул. Дубравная 4-я линия,Дубравная 4 линия,94.44
22305,60 летия Октября,ул. 60 летия Октября,60-летия Октября,93.75
22572,Тераспольская,ул. Тераспольская,Тираспольская,92.31
22809,Г.Люксембург,ул. Г.Люксембург,Р.Люксембург,91.67
22822,Матроская,ул. Матроская,Матросская,94.74
